"","AMP","ANDC","AWL","BEMA","BYPA","CAUS","CONC","COND","CONJ","CONT","DEMO","DEMP","DPAR","DWNT","EMPH","EX","FPP1","GER","HDG","INPR","JJ","NEMD","NN","NOMZ","OSUB","PASS","PASTP","PEAS","PHC","PIN","PIRE","PIT","PLACE","POMD","PRED","PRESP","PRIV","PRMD","PROD","PUBV","RB","SERE","SMP","SPAU","SPIN","SPP2","STPR","SUAV","SYNE","THAC","THATD","THVC","TIME","TO","TOBJ","TPP3","TSUB","TTR","VBD","VPRT","WHCL","WHOBJ","WHQU","WHSUB","WZPAST","WZPRES","XX0"
"AMP",1,0.146972216566383,-0.235903676319568,0.351066553728839,-0.127210861485762,0.200271143663025,0.00137866897355029,0.109617137101488,-0.0559903402227311,0.237145600768221,0.334709464746908,0.266354529958046,0.223909246706223,-0.0773623354747732,0.22563878863724,0.220980742637501,0.258159104361878,-0.0338668601129058,0.119915619685089,-0.00631157453760527,-0.17021604740973,0.00866595295349071,-0.317451319346231,-0.157629686041701,-0.0765149479845229,-0.166696256761213,-0.0619657543642906,-0.123862234305501,-0.130179416296154,-0.160991925045301,-0.0650685136006593,0.168407862821865,-0.0825191339810241,0.0268625017843469,0.262765317181574,-0.15917439328293,0.215730249894555,0.0297416517236584,0.139155089863431,-0.105078360693845,0.249230828762405,-0.142167156934104,0.021566829972397,-0.0369548737379859,0.0710250785147139,0.197247985735833,0.279944163918158,-0.0629867140821659,-0.0463595280502621,0.157763842053978,0.162070569807838,0.0698535736043134,0.0288123743032324,0.123257002546566,0.14157249765764,0.079819655843507,-0.0597852926745071,-0.206665278567412,-0.0555339972044903,0.274052030892962,0.103328115581806,0.164438357418782,0.0648693529025062,0.0384790705042432,-0.19669944234373,-0.00212262277522254,0.191553712981309
"ANDC",0.146972216566383,1,-0.402699309868857,0.183961065848759,-0.219576903032248,0.154381913303667,0.0604376548273695,-0.0171678087503902,-0.186495839924578,0.364875904868464,0.106952255815533,0.29319392890161,0.276339196213622,-0.160618145177754,0.240697402039041,0.18464200925857,0.299900926354065,-0.165125866257792,0.233432728806676,-0.0488643922547665,-0.394156380484308,-0.15484874384008,-0.350967710047817,-0.313161187886229,-0.103305073405637,-0.176867630489316,0.0333811292423133,-0.249247769233924,-0.259004174011065,-0.334381642488467,-0.109533233686705,0.303828655864915,-0.0248880071587985,-0.111459855012837,0.0457808659897973,-0.0154177074247431,0.256858519091263,-0.057390841688293,0.249135824282584,-0.209395057742536,0.191966386865818,0.0297866382516454,-0.111560983541814,-0.199169451273695,-0.0611771077091267,0.280848525689223,0.258980159527617,-0.231637942044451,-0.153508317305147,0.0037985684070679,0.171620771665495,-0.0353620744457336,-0.0817790780391757,-0.116071383728988,-0.0966459239890259,0.114363367678286,-0.207381714607657,-0.424144602217567,0.190267805484563,0.16295026030245,0.134399420154368,-0.0214399866089244,0.0985172702143547,-0.233865059872037,-0.271039885107016,-0.131936010284829,0.118701143292656
"AWL",-0.235903676319568,-0.402699309868857,1,-0.567651293378113,0.529753201022662,-0.323450780044944,-0.05913921581057,-0.325978533802971,0.525149317132945,-0.893312907064113,-0.257018883876888,-0.679713865466957,-0.712872330518,0.331554074854602,-0.595800450700152,-0.392847811335638,-0.715815632995485,0.315178813070374,-0.661788528493683,-0.0683470251130708,0.833961033004238,0.108777168019181,0.755551275698884,0.806336924942671,0.127024855520496,0.527646915832245,0.180293301706405,0.475180624293769,0.692447640816873,0.812992794026482,0.365979577379045,-0.739761051931634,0.0168364253579026,-0.16682747721815,-0.159220269998876,0.159271434285171,-0.698824104233907,-0.200599880351809,-0.606569762503763,0.0675579548943434,-0.607241522879718,0.257853933633467,0.129388041246881,0.328709376174167,0.0306210741500062,-0.673181685993885,-0.575810394088198,0.289936871480602,-0.0108521525452693,0.0544651295123794,-0.654923221337646,0.112628473321803,-0.0341625471667788,-0.0423117149364823,0.126335667100511,-0.384127347358231,0.363075372538837,0.736409142320023,-0.2471961534907,-0.653239541464204,-0.53459624720159,0.0404107847168659,-0.413902004314139,0.284304742151346,0.594655762093866,0.054542384452505,-0.643281415924866
"BEMA",0.351066553728839,0.183961065848759,-0.567651293378113,1,-0.295356191133529,0.330876379100839,0.00193097519693126,0.269297548542305,-0.206868594096774,0.594880825241178,0.316456408804987,0.552936476074294,0.399829257081263,-0.121402814614183,0.49905044582167,0.266857159067784,0.448273079506709,-0.231305549973027,0.387105712003894,0.0601291407492799,-0.346795795613475,0.0389869649025295,-0.619497083708413,-0.395634320621441,-0.0477870956877334,-0.298716688901381,-0.287158900442749,-0.232056354790452,-0.322514275354935,-0.564023958895419,-0.215884776354042,0.505276529498495,-0.170835133171703,0.0901609168749599,0.675357001415575,-0.280488815173763,0.483130544085897,0.0896434723623852,0.387003452959851,-0.131574112123456,0.542303854654552,-0.224904304728697,-0.00760760335014161,-0.0708466465631387,0.0539321472978198,0.44436873705244,0.292235900435607,-0.181196688379215,0.126575329224546,0.163670626320955,0.403030750692594,0.00676075659236799,-0.0956402907006231,0.123644201696114,0.0467098629610047,0.224066081387169,-0.101855996256633,-0.449705762343721,-0.0193381562347897,0.661962739362754,0.344642907839542,0.0493559352551921,0.405523140630464,-0.0404239273579329,-0.411725513831638,-0.0979004060863263,0.572670267515055
"BYPA",-0.127210861485762,-0.219576903032248,0.529753201022662,-0.295356191133529,1,-0.164692497226645,-0.00887126787488397,-0.223497896693847,0.352055159128491,-0.487516997935988,-0.193798867036735,-0.369703461307002,-0.365940195229667,0.17584094433876,-0.397101916203302,-0.251477136124201,-0.398086992725512,0.17077214463088,-0.370968023360208,-0.0517124280889999,0.43948233818712,0.0523859650861779,0.409164052098813,0.447599638047224,0.0653476842445474,0.449142908445351,0.154781011489916,0.212422450049115,0.395148721434507,0.43489120628515,0.208923180711842,-0.410790710951863,-0.0402957428146248,-0.10800005325192,-0.082447587317973,0.0554473253427745,-0.347838615074608,-0.195563814144172,-0.357305980701347,0.0558434036766861,-0.387761533240605,0.139518892556553,0.012591510808825,0.22831028616185,0.0154706314508154,-0.388020989776655,-0.365176674368865,0.13229465666594,-0.00868392898944166,-0.0461325004577053,-0.317776913351215,0.0655540466603851,-0.106702632405438,-0.0893264984797272,0.0926353561869028,-0.181765021738606,0.16247646590346,0.358994864946998,-0.0965576169806076,-0.359579123639866,-0.279710348243035,0.0790101240672423,-0.262321437909893,0.182296811684729,0.397635563629763,0.042124325885359,-0.312473441796979
"CAUS",0.200271143663025,0.154381913303667,-0.323450780044944,0.330876379100839,-0.164692497226645,1,-0.00407240989063834,0.240449636343621,-0.106962888347962,0.341731118987849,0.205743713938305,0.297222525837791,0.250195366086199,-0.0675924881920634,0.252213419701837,0.242657609093621,0.24103748129593,-0.212569922906869,0.227223670125364,0.0729545275515751,-0.271229986206842,-0.0304895302167411,-0.358544146186491,-0.203285112368773,-0.0393786939440473,-0.13028047881021,-0.154075240562633,-0.1233775065001,-0.198482921898171,-0.316955460751144,-0.159162067876972,0.27909953495176,-0.133643323817165,0.111428725911827,0.177558257723717,-0.191000964608965,0.302913005732475,0.070148122079497,0.272943775385152,-0.0274507117233074,0.278765317175012,-0.126728980585442,-0.0051192402436046,-0.0130684108694102,0.0173322795664618,0.269094475224687,0.206801437719025,-0.0428777812923113,-0.00655719937322015,0.0624869362372795,0.249633927207607,0.0916181981689149,-0.0747918970303584,0.11438382770877,0.0785007889550186,0.162180720831978,-0.0496458556818447,-0.315179209904723,-0.0149298074232407,0.385932376654508,0.291683285019332,0.0270864787487669,0.115932917434508,0.0281731647713554,-0.287688150422492,-0.0928024215074616,0.330896932418116
"CONC",0.00137866897355029,0.0604376548273695,-0.05913921581057,0.00193097519693126,-0.00887126787488397,-0.00407240989063834,1,-0.140006641117886,0.0160123625373175,0.0278986061659539,0.00248515065063446,-0.0291648450821302,0.0623757259426876,0.0353246055115691,0.0456300926667592,0.0089403528239106,-0.011049307306914,0.0471214403886297,0.0199007157356922,0.0170075971631586,-0.0348017102298972,-0.0363441531329324,-0.0116446663757562,-0.122941688250231,0.0303004612339602,-0.00792549660584242,-0.0137626548940844,0.000478904855707587,-0.00328056520268614,0.0347651525814171,0.0136886038218024,0.0864324471592975,0.0642931430557693,-0.068066728566955,0.0266119365819396,0.0181050071518686,0.00178346855601059,-0.0663490148306215,-0.0610437647413688,-0.0838979780987757,0.0711679709749928,0.0465911687669349,0.148599602238704,0.000303990547467531,-0.0403953901867214,-0.0799086102330855,0.0197100860192908,-0.0505006438976138,-0.0555211386801364,0.0035064148309167,-0.020584968329661,-0.0041587147345571,0.102286669772468,-0.0597938213575158,0.00387005012049472,0.142378489045553,-0.068270802345973,0.00825154741745902,0.0324625237209122,0.00223623158408525,-0.0212456861112493,0.0551574816470495,-0.00468883326501459,-0.0212634690527844,-0.0850061685726474,0.0397994952741877,-0.0248125378639742
"COND",0.109617137101488,-0.0171678087503902,-0.325978533802971,0.269297548542305,-0.223497896693847,0.240449636343621,-0.140006641117886,1,-0.156631393021158,0.367373860772871,0.203354441100741,0.337662402139341,0.163758737315482,-0.0253705374890745,0.221687934409977,0.288835592211831,0.20266263087036,-0.0943101728236144,0.262005537260049,0.0314960238742346,-0.292665511160793,0.165252262053982,-0.41301643898491,-0.124824305519612,0.0457923782229229,-0.122500597876077,-0.225748020054463,-0.210852152213581,-0.322236386945264,-0.365836025420885,-0.0954704263343979,0.259786484692264,-0.106741978730038,0.470071481200117,0.0970663704658626,-0.182518018306763,0.316317665356744,0.346663914983621,0.332424949326106,0.0572381255996865,0.292650706331663,-0.158810482106373,-0.0739771340658983,-0.0316095383456357,0.0501053466114518,0.505411706463364,0.199537900790959,0.135927271369829,0.125237920526639,0.108209967841748,0.226237893188184,0.0654767878186575,-0.116327540803612,0.284265360149796,0.0682386695781107,-0.0554784090730472,-0.0428013616224195,-0.298300431376436,-0.218748347206653,0.434521076465304,0.298350688906263,-0.00154836441723712,0.146878825293016,-0.0455990227178745,-0.212644361387461,0.0251443983495073,0.402735798170446
"CONJ",-0.0559903402227311,-0.186495839924578,0.525149317132945,-0.206868594096774,0.352055159128491,-0.106962888347962,0.0160123625373175,-0.156631393021158,1,-0.496680113431431,0.0224809256721045,-0.303195895343434,-0.380829661023806,0.145376264284091,-0.320405610411356,-0.182182576689135,-0.377990757475415,0.111830001704407,-0.334401779836913,-0.104488062113342,0.43355296080907,0.17733288489276,0.23083531081175,0.499829383786553,0.204673548187215,0.40894522263769,-0.000760428402757351,0.192702998373254,0.340946789662377,0.465174916500805,0.350990068285515,-0.39341031099445,-0.12837182393983,-0.0127131883466503,0.0529012028670942,-0.00525599850873453,-0.31366828732683,-0.155864257498983,-0.271251843605306,-0.114110902873094,-0.214901571981753,0.109683309762365,0.133810788970316,0.278099078982835,0.133366573808584,-0.333742693543967,-0.345327103024056,0.130908655478255,0.00362094461746602,0.0895733460563488,-0.390457124831192,0.130059368038922,-0.187544893342798,-0.02074997438845,0.134006890850804,-0.195275838851477,0.138368145935591,0.303931595568165,-0.269933530380684,-0.261863157546147,-0.247365333807439,0.0917725748741728,-0.199890485843456,0.142513926221281,0.369598933820155,0.0336854640931907,-0.27501169410225
"CONT",0.237145600768221,0.364875904868464,-0.893312907064113,0.594880825241178,-0.487516997935988,0.341731118987849,0.0278986061659539,0.367373860772871,-0.496680113431431,1,0.257102771489943,0.756882653463142,0.725778971523429,-0.328214794001799,0.623673547388631,0.428021751950105,0.649128875006346,-0.299528603303072,0.697199110993485,0.0250348364314716,-0.750149275710054,-0.137097232136388,-0.743689900633657,-0.670783415672557,-0.180303079728083,-0.507932818164454,-0.200298512654511,-0.513114505928058,-0.667842090153748,-0.857506786087808,-0.363024787938663,0.735530399531686,-0.0958589363016162,0.196446260061055,0.170017534100584,-0.178434557692355,0.714256855140045,0.19606105051961,0.623526634124032,-0.0441337658224521,0.557991591044816,-0.265741474486815,-0.15740460257745,-0.313691991501848,-0.036295281972669,0.697236875957081,0.610548011903663,-0.265183335787605,-0.0106345010437306,-0.0657179663126566,0.686455217420199,-0.0908758619439228,0.0101312544066049,0.0489943930847411,-0.136065256994152,0.262732627481021,-0.324333992751544,-0.737621856542564,0.0867729394831194,0.755141421310986,0.551506027310855,-0.0626330112909864,0.436413884248433,-0.291592458951703,-0.537457850895771,-0.0315695570478143,0.675625222740624
