"microregister","Factor1","Factor2","Factor3","Factor4","Factor5","Factor6","Factor7"
"academic",-1.041134684969,-0.0249637737049396,-0.226309409151743,1.45720527655484,-0.546662304765784,-0.828809381263265,0.0409864619788052
"broadcast discussion",0.626479153665206,-0.431742004534953,0.657311720894604,-0.280379594147785,-0.305809107271367,0.363863108817013,-0.399248122747669
"broadcast interview",0.700020516094539,-0.416141917621232,0.763672328065384,-0.089076769827561,0.143486414115188,-0.540636518375192,0.000363077744095366
"business letters",-0.676577778019704,0.146453781108867,0.357958464273916,0.706032371425685,0.712748392936747,-0.529980743362646,0.437785308113571
"business transactions",1.11588575963413,-0.3646214372854,0.293304737110847,-0.0169172412390768,0.711709292738905,-0.410393888711317,-0.133362549527908
"commentaries",-0.417717397804923,-1.40984786584226,0.675531808732844,-1.73034554163549,-0.310241192683558,-0.648648072693658,-0.322332638346306
"conversation",1.57568370099132,0.0714848510106585,-0.401471617912569,0.220460757860814,-0.0610935884164032,-0.139509064403894,0.165709451750053
"exams",-0.446207198220602,1.06432963504054,1.17062647334361,0.00603301779602394,-1.97949298614892,0.375436686989071,-1.22147401664787
"fiction",-0.223477629039005,0.232285993416882,-0.726781742513719,-0.967350642386688,-0.0187740076598098,0.163426363795829,1.44923675922087
"instructional",-0.69469845537396,-0.788364841739338,-0.634383406250966,0.734830822048559,0.878745422569701,-0.373560301873118,-0.0525327881979841
"legal debate",0.72422178597615,-0.864266040761331,1.29514577677376,0.65502246077273,0.128656946746559,-0.222429438622178,1.94246723876721
"legal presentation",0.0763549049454647,-1.13691327359761,2.40741119414404,0.12410650593736,0.0651525148892543,1.8231032877346,1.22013473275968
"lesson",1.21766799970055,-0.570708466794973,0.237810406254152,0.341902174137299,-0.133240058966866,-0.391587465096625,-0.359923236446357
"non-academic",-0.761307693422685,-0.191575602664717,-0.673198379923973,-0.38359380984901,-0.309524814702332,0.480778553393742,-0.424683309468291
"online comments",-0.291688691925749,1.2470902179685,-0.019523050158523,-0.174337634618339,0.267099739622431,0.053318185896288,-0.349526841851812
"opinion",-0.786880790860774,0.522140126587324,-0.188435373870543,-0.180104164172207,0.178037084036752,-0.116838582453407,0.144568438053132
"parliamentary debate",-0.790027178571319,-1.00914267381116,2.35445674894038,0.584434864823402,0.23810907934791,0.0720527668586969,-0.156589061133836
"persuasive",-0.834424500663287,0.167356624931933,0.137915891419078,-0.214428586597658,0.418357158321748,-0.160482161614293,0.309435391301472
"reportage",-0.520215519485812,-0.808647794997067,-0.871842296205015,-0.0474081957309196,-0.0479289907662744,1.96764330748999,0.263206192401782
"scripted broadcast",-0.555184707437096,-1.08226672194479,0.187145866751418,-0.468813696453692,-0.123681235351585,0.77257544900107,-0.548275954394152
"scripted non-broadcast",-1.01359377738382,-0.374886217001354,0.92513228981364,-0.112612558779036,-0.239392286755599,-0.516529783853942,0.458671699608414
"social letters",0.0523845791076492,0.75946101250118,-0.824734694221205,-0.83267858342565,0.484685160056096,-0.636986699326994,0.546613756260884
"speech",0.99148784764967,-0.404936074734229,0.408795602031382,0.091103413497309,0.0786738451475299,-0.0368417664872555,-0.889409483781146
"student essays",-0.930857845736054,0.323452185491865,0.944780512788956,1.02307242617902,-0.623076661157862,-0.362996933740697,1.07681779448353
"telephone",1.68660468171383,0.347352236089409,-0.966130134741295,0.0662626445805276,-0.0518707533033262,-0.15334610207768,0.248817136081749
