,Factor1,Factor2,Factor3,Factor4,filename,microregister,macroregister,mode
academicW2A-001_MAT.txt,-1.02260804431737,0.663636775146025,-0.361445064812381,-0.980010351521102,academicW2A-001_MAT.txt,academic,academic,written
academicW2A-002_MAT.txt,-1.30703276374625,0.4913475395897,-0.609842995594872,1.17179957967391,academicW2A-002_MAT.txt,academic,academic,written
academicW2A-003_MAT.txt,-0.792492376052066,0.825148763833628,0.126670628230117,-0.675618498055067,academicW2A-003_MAT.txt,academic,academic,written
academicW2A-004_MAT.txt,-1.4558732291112,-0.905077267418531,-0.404325823514832,1.1718457453187,academicW2A-004_MAT.txt,academic,academic,written
academicW2A-005_MAT.txt,-1.34415996586231,-0.687030583709461,-0.98202947513951,-0.241864956994169,academicW2A-005_MAT.txt,academic,academic,written
academicW2A-006_MAT.txt,-0.642037288247915,0.848600412130668,0.553695283113569,-1.04376615033511,academicW2A-006_MAT.txt,academic,academic,written
academicW2A-007_MAT.txt,-1.48011403179922,-0.274892997859122,-0.85720595859053,0.115404731295352,academicW2A-007_MAT.txt,academic,academic,written
academicW2A-008_MAT.txt,-1.48354923797441,0.273753937687308,-0.314570783060221,0.406080342909801,academicW2A-008_MAT.txt,academic,academic,written
academicW2A-009_MAT.txt,-1.39773537782254,0.01294363146184,0.113927956739395,0.120536461062182,academicW2A-009_MAT.txt,academic,academic,written
academicW2A-010_MAT.txt,-0.978296692234405,-0.958438033718901,0.281088471673735,-0.017896947509655,academicW2A-010_MAT.txt,academic,academic,written
academicW2A-011_MAT.txt,-1.39920214873813,1.21709596941402,-0.573696140049674,0.801895345462869,academicW2A-011_MAT.txt,academic,academic,written
academicW2A-012_MAT.txt,-1.32936998330162,2.48426329749071,-0.825174993192159,0.932401350850394,academicW2A-012_MAT.txt,academic,academic,written
academicW2A-013_MAT.txt,-1.38583720801799,0.456622055828751,0.250647367696179,0.140955596840599,academicW2A-013_MAT.txt,academic,academic,written
academicW2A-014_MAT.txt,-0.975064298104801,0.929857326107271,-0.102415892438633,-0.817960554747109,academicW2A-014_MAT.txt,academic,academic,written
academicW2A-015_MAT.txt,-1.164895908204,1.20636990027826,0.584554507677841,-0.438571251936815,academicW2A-015_MAT.txt,academic,academic,written
academicW2A-016_MAT.txt,-1.16496574553273,-0.875099394245562,-0.449948362280776,0.397792663162364,academicW2A-016_MAT.txt,academic,academic,written
academicW2A-017_MAT.txt,-1.33824675768773,0.677824830194254,-0.373923217411397,-0.706774519003733,academicW2A-017_MAT.txt,academic,academic,written
academicW2A-018_MAT.txt,-0.708672769838386,1.88015510831295,0.91542747810237,-0.596022598041822,academicW2A-018_MAT.txt,academic,academic,written
academicW2A-019_MAT.txt,-1.2725945940637,2.71575802721047,-0.649403966568934,-0.196846665483055,academicW2A-019_MAT.txt,academic,academic,written
academicW2A-020_MAT.txt,-1.24155851600637,2.12113853865503,-1.86271514939792,0.212767931887112,academicW2A-020_MAT.txt,academic,academic,written
academicW2A-021_MAT.txt,-0.98581029895765,1.64506273173139,-0.051738355066399,-0.751973494094869,academicW2A-021_MAT.txt,academic,academic,written
academicW2A-022_MAT.txt,-1.21727369780566,-0.626350814707047,-0.725900909096691,-1.54357685373751,academicW2A-022_MAT.txt,academic,academic,written
academicW2A-023_MAT.txt,-1.37943035701294,0.007275243624986,-0.209764019057677,-0.568349074037585,academicW2A-023_MAT.txt,academic,academic,written
academicW2A-024_MAT.txt,-1.49874672245147,0.95041504334756,0.026521914086593,-0.695633371976804,academicW2A-024_MAT.txt,academic,academic,written
