"","Factor1","Factor2","Factor3","Factor4","Factor5","filename","microregister","macroregister","mode"
"academicW2A-001_MAT.txt",-0.818179111744026,-0.34945673108742,-0.153298111597661,0.895091269558976,-1.04066339013355,"academicW2A-001_MAT.txt","academic","academic","written"
"academicW2A-002_MAT.txt",-0.960496520271669,-0.490333697364068,-0.157868332657243,1.00856729497171,1.23646196858295,"academicW2A-002_MAT.txt","academic","academic","written"
"academicW2A-003_MAT.txt",-0.678163651572415,0.202623082527842,-0.0170296005992004,0.756492720458539,-0.778538210698128,"academicW2A-003_MAT.txt","academic","academic","written"
"academicW2A-004_MAT.txt",-1.22142315257057,-1.91989618190374,0.30533842617913,0.342383394388596,1.35765074837518,"academicW2A-004_MAT.txt","academic","academic","written"
"academicW2A-005_MAT.txt",-1.04254387394954,-0.967648174134101,-0.963601586930428,-0.133459039883407,-0.367361811990261,"academicW2A-005_MAT.txt","academic","academic","written"
"academicW2A-006_MAT.txt",-0.682363546640051,-0.0025648212864184,0.675288784132637,0.845993511621247,-1.03348426592134,"academicW2A-006_MAT.txt","academic","academic","written"
"academicW2A-007_MAT.txt",-1.18615289621581,-1.75472837193887,0.12323204108265,0.805459421635279,0.308066859441773,"academicW2A-007_MAT.txt","academic","academic","written"
"academicW2A-008_MAT.txt",-1.2298559176322,-1.34699508168645,0.511274031855412,1.17334259391699,0.531051206250629,"academicW2A-008_MAT.txt","academic","academic","written"
"academicW2A-009_MAT.txt",-1.3010261447827,-0.510264923722641,0.194579574190797,0.367043568704638,0.183370041569575,"academicW2A-009_MAT.txt","academic","academic","written"
"academicW2A-010_MAT.txt",-1.02765065377626,-0.177987483384246,-0.367746585775191,-0.893503768223103,-0.122547885064005,"academicW2A-010_MAT.txt","academic","academic","written"
"academicW2A-011_MAT.txt",-0.987643089926103,-0.552800118273153,0.208037018681085,1.85686287166399,0.964513392364933,"academicW2A-011_MAT.txt","academic","academic","written"
"academicW2A-012_MAT.txt",-0.780284393465392,-0.922704165349958,1.0782660459353,3.51162174528278,1.37503035062467,"academicW2A-012_MAT.txt","academic","academic","written"
"academicW2A-013_MAT.txt",-1.31687454104427,-1.51880581842215,1.43754887366163,1.41630934441534,0.46754610391011,"academicW2A-013_MAT.txt","academic","academic","written"
"academicW2A-014_MAT.txt",-0.800188544378535,0.603569960562698,-0.444442556594766,0.695704642418727,-0.917232796705552,"academicW2A-014_MAT.txt","academic","academic","written"
"academicW2A-015_MAT.txt",-1.14473884931024,-0.674941654420674,1.44944727527702,1.68614372870978,-0.190223421808907,"academicW2A-015_MAT.txt","academic","academic","written"
"academicW2A-016_MAT.txt",-0.974489442444601,-1.49461629933278,-0.0950146310156356,-0.019162062303594,0.426445089852895,"academicW2A-016_MAT.txt","academic","academic","written"
