"","Factor1","Factor2","Factor3","Factor4"
"AMP",0.263,0.036,0.202,-0.066
"ANDC",0.384,-0.108,-0.164,0.105
"AWL",-0.931,0.242,0.014,-0.074
"BEMA",0.599,-0.047,0.479,-0.086
"BYPA",-0.503,0.209,-0.049,0.014
"CAUS",0.373,0.081,0.157,-0.034
"CONC",-0.002,-0.193,0.084,-0.006
"COND",0.43,0.284,0.034,-0.203
"CONJ",-0.46,0.333,0.091,-0.12
"CONT",0.95,-0.113,-0.064,-0.076
"DEMO",0.357,0.306,0.153,-0.092
"DEMP",0.783,0.078,-0.007,-0.1
"DPAR",0.739,-0.096,-0.098,0.042
"DWNT",-0.363,-0.032,0.283,-0.033
"EMPH",0.602,-0.208,0.237,-0.046
"EX",0.447,0.054,0.025,-0.065
"FPP1",0.704,-0.039,0.063,0.157
"GER",-0.324,-0.021,-0.077,-0.114
"HDG",0.729,-0.031,-0.145,-0.039
"INPR",0.012,-0.158,0.259,0.119
"JJ",-0.822,0.002,0.267,-0.189
"NEMD",-0.051,0.343,0.101,-0.057
"NN",-0.821,-0.15,-0.203,-0.065
"NOMZ",-0.653,0.591,-0.126,-0.141
"OSUB",-0.158,0.043,0.098,-0.054
"PASS",-0.477,0.399,-0.135,0.039
"PASTP",-0.215,-0.069,-0.245,0.078
"PEAS",-0.537,-0.006,0.337,0.189
"PHC",-0.708,0.059,0.154,-0.028
"PIN",-0.873,0.069,-0.011,-0.031
"PIRE",-0.33,0.309,-0.079,-0.01
"PIT",0.732,-0.214,0.042,-0.106
"PLACE",-0.153,-0.469,0.051,0.006
"POMD",0.251,0.261,0.021,-0.143
"PRED",0.184,0.071,0.544,-0.015
"PRESP",-0.217,-0.234,-0.134,0.009
"PRIV",0.789,0.128,0.015,0.1
"PRMD",0.227,0.183,0.018,-0.019
"PROD",0.66,0.043,-0.027,-0.029
"PUBV",-0.017,0.213,-0.089,0.296
"RB",0.576,-0.219,0.447,-0.006
"SERE",-0.293,-0.045,-0.044,-0.011
"SMP",-0.178,-0.11,0.309,0.061
"SPAU",-0.318,0.137,0.363,-0.001
"SPIN",-0.021,0.052,0.142,-0.08
"SPP2",0.766,0.144,-0.116,-0.062
"STPR",0.625,-0.043,-0.227,-0.063
"SUAV",-0.213,0.404,0.004,0.037
"SYNE",0.001,0.032,0.328,0.093
"THAC",-0.022,0.198,0.27,-0.017
"THATD",0.717,0.02,-0.048,0.162
"THVC",-0.018,0.379,0.092,0.128
"TIME",-0.057,-0.338,0.032,0.079
"TO",0.098,0.271,0.194,-0.127
"TOBJ",-0.074,0.333,0.185,0.081
"TPP3",0.281,-0.236,0.179,0.363
"TSUB",-0.335,0.084,0.251,-0.021
"TTR",-0.826,-0.174,0.245,-0.009
"VBD",0.088,-0.28,0.01,0.93
"VPRT",0.779,0.064,0.147,-0.485
"WHCL",0.607,0.108,0.023,0.09
"WHOBJ",-0.027,0.132,0.088,-0.016
"WHQU",0.443,-0.009,0.165,0.13
"WHSUB",-0.272,0.169,0.229,0.039
"WZPAST",-0.553,0.293,-0.185,0.018
"WZPRES",-0.065,-0.1,-0.048,-0.135
"XX0",0.702,0.092,0.258,0.129
