feature,number of texts
AMP,67
ANDC,67
AWL,660
BEMA,660
BYPA,404
CAUS,556
CONC,424
COND,613
CONJ,530
CONT,607
DEMO,660
DEMP,655
DPAR,453
DWNT,608
EMPH,659
EX,610
FPP1,637
GER,652
HDG,391
INPR,371
JJ,660
NEMD,559
NN,660
NOMZ,660
OSUB,560
PASS,658
PASTP,400
PEAS,652
PHC,658
PIN,660
PIRE,320
PIT,658
PLACE,632
POMD,656
PRED,659
PRESP,556
PRIV,660
PRMD,649
PROD,550
PUBV,653
RB,660
SERE,364
SMP,423
SPAU,654
SPIN,206
SPP2,558
STPR,551
SUAV,641
SYNE,573
THAC,319
THATD,619
THVC,624
TIME,648
TO,660
TOBJ,555
TPP3,658
TSUB,573
TTR,660
VBD,660
VPRT,660
WHCL,504
WHOBJ,305
WHQU,401
WHSUB,558
WZPAST,481
WZPRES,642
XX0,660
