filename,microregister,mesoregister,macroregister,mode
academicW2A-001_MAT.txt,academic,academic,academic,written
academicW2A-002_MAT.txt,academic,academic,academic,written
academicW2A-003_MAT.txt,academic,academic,academic,written
academicW2A-004_MAT.txt,academic,academic,academic,written
academicW2A-005_MAT.txt,academic,academic,academic,written
academicW2A-006_MAT.txt,academic,academic,academic,written
academicW2A-007_MAT.txt,academic,academic,academic,written
academicW2A-008_MAT.txt,academic,academic,academic,written
academicW2A-009_MAT.txt,academic,academic,academic,written
academicW2A-010_MAT.txt,academic,academic,academic,written
academicW2A-011_MAT.txt,academic,academic,academic,written
academicW2A-012_MAT.txt,academic,academic,academic,written
academicW2A-013_MAT.txt,academic,academic,academic,written
academicW2A-014_MAT.txt,academic,academic,academic,written
academicW2A-015_MAT.txt,academic,academic,academic,written
academicW2A-016_MAT.txt,academic,academic,academic,written
academicW2A-017_MAT.txt,academic,academic,academic,written
academicW2A-018_MAT.txt,academic,academic,academic,written
academicW2A-019_MAT.txt,academic,academic,academic,written
academicW2A-020_MAT.txt,academic,academic,academic,written
academicW2A-021_MAT.txt,academic,academic,academic,written
academicW2A-022_MAT.txt,academic,academic,academic,written
academicW2A-023_MAT.txt,academic,academic,academic,written
academicW2A-024_MAT.txt,academic,academic,academic,written
academicW2A-025_MAT.txt,academic,academic,academic,written
academicW2A-026_MAT.txt,academic,academic,academic,written
academicW2A-027_MAT.txt,academic,academic,academic,written
academicW2A-028_MAT.txt,academic,academic,academic,written
academicW2A-029_MAT.txt,academic,academic,academic,written
academicW2A-030_MAT.txt,academic,academic,academic,written
academicW2A-031_MAT.txt,academic,academic,academic,written
academicW2A-032_MAT.txt,academic,academic,academic,written
academicW2A-033_MAT.txt,academic,academic,academic,written
academicW2A-034_MAT.txt,academic,academic,academic,written
academicW2A-035_MAT.txt,academic,academic,academic,written
academicW2A-036_MAT.txt,academic,academic,academic,written
academicW2A-037_MAT.txt,academic,academic,academic,written
academicW2A-038_MAT.txt,academic,academic,academic,written
academicW2A-039_MAT.txt,academic,academic,academic,written
academicW2A-040_MAT.txt,academic,academic,academic,written
brdcastdS1B-021_MAT.txt,broadcast discussion,broadcast,public dialogue,spoken
brdcastdS1B-022_MAT.txt,broadcast discussion,broadcast,public dialogue,spoken
brdcastdS1B-023_MAT.txt,broadcast discussion,broadcast,public dialogue,spoken
brdcastdS1B-024_MAT.txt,broadcast discussion,broadcast,public dialogue,spoken
brdcastdS1B-025_MAT.txt,broadcast discussion,broadcast,public dialogue,spoken
brdcastdS1B-026_MAT.txt,broadcast discussion,broadcast,public dialogue,spoken
brdcastdS1B-027_MAT.txt,broadcast discussion,broadcast,public dialogue,spoken
brdcastdS1B-028_MAT.txt,broadcast discussion,broadcast,public dialogue,spoken
brdcastdS1B-029_MAT.txt,broadcast discussion,broadcast,public dialogue,spoken
brdcastdS1B-030_MAT.txt,broadcast discussion,broadcast,public dialogue,spoken
brdcastdS1B-031_MAT.txt,broadcast discussion,broadcast,public dialogue,spoken
brdcastdS1B-032_MAT.txt,broadcast discussion,broadcast,public dialogue,spoken
brdcastdS1B-033_MAT.txt,broadcast discussion,broadcast,public dialogue,spoken
brdcastdS1B-034_MAT.txt,broadcast discussion,broadcast,public dialogue,spoken
brdcastdS1B-035_MAT.txt,broadcast discussion,broadcast,public dialogue,spoken
brdcastdS1B-036_MAT.txt,broadcast discussion,broadcast,public dialogue,spoken
brdcastdS1B-037_MAT.txt,broadcast discussion,broadcast,public dialogue,spoken
brdcastdS1B-038_MAT.txt,broadcast discussion,broadcast,public dialogue,spoken
brdcastdS1B-039_MAT.txt,broadcast discussion,broadcast,public dialogue,spoken
brdcastdS1B-040_MAT.txt,broadcast discussion,broadcast,public dialogue,spoken
brdcastiS1B-041_MAT.txt,broadcast interview,broadcast,public dialogue,spoken
brdcastiS1B-042_MAT.txt,broadcast interview,broadcast,public dialogue,spoken
brdcastiS1B-043_MAT.txt,broadcast interview,broadcast,public dialogue,spoken
brdcastiS1B-044_MAT.txt,broadcast interview,broadcast,public dialogue,spoken
brdcastiS1B-045_MAT.txt,broadcast interview,broadcast,public dialogue,spoken
brdcastiS1B-046_MAT.txt,broadcast interview,broadcast,public dialogue,spoken
brdcastiS1B-047_MAT.txt,broadcast interview,broadcast,public dialogue,spoken
brdcastiS1B-048_MAT.txt,broadcast interview,broadcast,public dialogue,spoken
brdcastiS1B-049_MAT.txt,broadcast interview,broadcast,public dialogue,spoken
brdcastiS1B-050_MAT.txt,broadcast interview,broadcast,public dialogue,spoken
businessS1B-071_MAT.txt,business transactions,business transactions,public dialogue,spoken
